rowId,family,status,ordinaryOrMeta,bucket,likelyOwningTask,representativeAssetOrRule,notes,sourceRcid,sourceLookupId,geometryType,tableName,ruleId,reasons
$AREAS|Area|Plain|326|32361,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32361,326,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|327|32362,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32362,327,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|328|32363,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32363,328,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|329|32364,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32364,329,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|330|32365,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32365,330,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|331|32366,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32366,331,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|332|32367,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32367,332,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|333|32368,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32368,333,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|334|32369,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32369,334,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|335|32370,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32370,335,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|336|32371,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32371,336,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|337|32372,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32372,337,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Plain|338|32373,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,QUESMRK1,object acronym is internal/meta and still carries degraded status,32373,338,Area,Plain,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|659|32694,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_2_CHGRD,object acronym is internal/meta and still carries degraded status,32694,659,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|660|32695,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRDEL1,object acronym is internal/meta and still carries degraded status,32695,660,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|661|32696,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRID01,object acronym is internal/meta and still carries degraded status,32696,661,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|662|32697,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DIAMOND1,object acronym is internal/meta and still carries degraded status,32697,662,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|663|32698,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OVERSC01,object acronym is internal/meta and still carries degraded status,32698,663,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|664|32699,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_DASH_1_CHGRD,object acronym is internal/meta and still carries degraded status,32699,664,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|665|32700,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32700,665,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|666|32701,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32701,666,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|667|32702,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32702,667,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|668|32703,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32703,668,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|669|32704,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32704,669,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|670|32705,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32705,670,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|671|32706,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32706,671,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|672|32707,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32707,672,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|673|32708,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32708,673,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|674|32709,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32709,674,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|675|32710,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32710,675,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|676|32711,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32711,676,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|677|32712,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32712,677,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|678|32713,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32713,678,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|679|32714,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32714,679,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|680|32715,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32715,680,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|681|32716,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32716,681,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|682|32717,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32717,682,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|683|32718,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32718,683,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|684|32719,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LS_SOLD_1_CHGRD,object acronym is internal/meta and still carries degraded status,32719,684,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$AREAS|Area|Symbolized|685|32720,$AREAS,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,QUESMRK1,object acronym is internal/meta and still carries degraded status,32720,685,Area,Symbolized,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2879|30907,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ACHRES61,object acronym is internal/meta and still carries degraded status,30907,2879,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2880|30908,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ACHRES71,object acronym is internal/meta and still carries degraded status,30908,2880,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2881|30909,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,AISDEF01,object acronym is internal/meta and still carries degraded status,30909,2881,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2882|30910,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,AISONE01,object acronym is internal/meta and still carries degraded status,30910,2882,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2883|30911,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,AISSIX01,object acronym is internal/meta and still carries degraded status,30911,2883,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2884|30912,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,AISSLP01,object acronym is internal/meta and still carries degraded status,30912,2884,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2885|30913,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,AISVES01,object acronym is internal/meta and still carries degraded status,30913,2885,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2886|30914,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ARPATG01,object acronym is internal/meta and still carries degraded status,30914,2886,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2887|30915,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ARPONE01,object acronym is internal/meta and still carries degraded status,30915,2887,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2888|30916,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ARPSIX01,object acronym is internal/meta and still carries degraded status,30916,2888,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2889|30917,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,BLKADJ01,object acronym is internal/meta and still carries degraded status,30917,2889,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2890|30918,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,BRIDGE01,object acronym is internal/meta and still carries degraded status,30918,2890,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2891|30919,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRDEL1,object acronym is internal/meta and still carries degraded status,30919,2891,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2892|30920,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHCRID01,object acronym is internal/meta and still carries degraded status,30920,2892,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2893|30921,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHINFO08,object acronym is internal/meta and still carries degraded status,30921,2893,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2894|30922,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHINFO09,object acronym is internal/meta and still carries degraded status,30922,2894,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2895|30923,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHINFO10,object acronym is internal/meta and still carries degraded status,30923,2895,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2896|30924,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHINFO11,object acronym is internal/meta and still carries degraded status,30924,2896,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2897|30925,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CHKSYM01,object acronym is internal/meta and still carries degraded status,30925,2897,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2898|30926,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CLRLIN01,object acronym is internal/meta and still carries degraded status,30926,2898,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2899|30927,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CURSRA01,object acronym is internal/meta and still carries degraded status,30927,2899,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2900|30928,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,CURSRB01,object acronym is internal/meta and still carries degraded status,30928,2900,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2901|30929,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DANGER51,object acronym is internal/meta and still carries degraded status,30929,2901,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2902|30930,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DANGER52,object acronym is internal/meta and still carries degraded status,30930,2902,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2903|30931,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DANGER53,object acronym is internal/meta and still carries degraded status,30931,2903,Point,Paper,,compiler_missing_lookup_row;compiler_missing_point_asset:DANGER53;scene_harness_not_covered
$CSYMB|Point|Paper|2904|30932,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DIRBOY01,object acronym is internal/meta and still carries degraded status,30932,2904,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2905|30933,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DIRBOYA1,object acronym is internal/meta and still carries degraded status,30933,2905,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2906|30934,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DIRBOYB1,object acronym is internal/meta and still carries degraded status,30934,2906,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2907|30935,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,DNGHILIT,object acronym is internal/meta and still carries degraded status,30935,2907,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2908|30936,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,EBLVRM11,object acronym is internal/meta and still carries degraded status,30936,2908,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2909|30937,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ERBLTIK1,object acronym is internal/meta and still carries degraded status,30937,2909,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2910|30938,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,EVENTS02,object acronym is internal/meta and still carries degraded status,30938,2910,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2911|30939,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,INFORM01,object acronym is internal/meta and still carries degraded status,30939,2911,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2912|30940,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,ISODGR51,object acronym is internal/meta and still carries degraded status,30940,2912,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2913|30941,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,LOWACC01,object acronym is internal/meta and still carries degraded status,30941,2913,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2914|30942,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,NORTHAR1,object acronym is internal/meta and still carries degraded status,30942,2914,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2915|30943,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OBSTRN01,object acronym is internal/meta and still carries degraded status,30943,2915,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2916|30944,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OBSTRN02,object acronym is internal/meta and still carries degraded status,30944,2916,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2917|30945,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OBSTRN03,object acronym is internal/meta and still carries degraded status,30945,2917,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2918|30946,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OBSTRN11,object acronym is internal/meta and still carries degraded status,30946,2918,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2919|30947,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OSPONE02,object acronym is internal/meta and still carries degraded status,30947,2919,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2920|30948,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OSPSIX02,object acronym is internal/meta and still carries degraded status,30948,2920,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2921|30949,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OWNSHP01,object acronym is internal/meta and still carries degraded status,30949,2921,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2922|30950,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,OWNSHP05,object acronym is internal/meta and still carries degraded status,30950,2922,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
$CSYMB|Point|Paper|2923|30951,$CSYMB,unsupported,internal_meta,internal_or_meta_row_only,108-s52-all-lookuprow-closure,PLNPOS01,object acronym is internal/meta and still carries degraded status,30951,2923,Point,Paper,,compiler_missing_lookup_row;scene_harness_not_covered
